Date,Company
2008-02,SWK
2008-02,EMN
2008-02,JNY
2008-02,CIEN
2008-02,ANF
2008-02,BFB
2008-02,TIE
2008-02,FII
2008-02,BC
2008-02,WEN
2008-02,VFC
2008-02,FLR
2008-02,SSP
2008-02,TMK
2008-02,LXK
2008-02,SAF
2008-02,BIG
2008-02,AIZ
2008-02,AIV
2008-02,ACS
2008-02,WAT
2008-02,PNW
2008-02,ABKFQ
2008-02,BLL
2008-02,FNP
2008-02,BCR
2008-02,ATI
2008-02,TEX
2008-02,BMS
2008-02,WPI
2008-02,SHW
2008-02,AVY
2008-02,BRL
2008-02,ZION
2008-02,VMC
2008-02,CTL
2008-02,RDC
2008-02,EL
2008-02,BSC
2008-02,HPC
2008-02,LH
2008-02,NVLS
2008-02,USX
2008-02,SUN
2008-02,BXP
2008-02,PKI
2008-02,JEC
2008-02,CTX
2008-02,PLL
2008-02,DDR
2008-02,PSA
2008-02,GR
2008-02,VAR
2008-02,LLL
2008-02,FHN
2008-02,ROH
2008-02,MKC
2008-02,MWW
2008-02,MTW
2008-02,PTV
2008-02,SIAL
2008-02,EFX
2008-02,DF
2008-02,CVG
2008-02,VNO
2008-02,LM
2008-02,RSHCQ
2008-02,CTAS
2008-02,TIF
2008-02,TAP
2008-02,TSO
2008-02,QLG
2008-02,APOL
2008-02,AN
2008-02,PCP
2008-02,CLX
2008-02,LEN
2008-02,PBG
2008-02,WFM
2008-02,PDCO
2008-02,DRI
2008-02,MOLX
2008-02,FDO
2008-02,NYT
2008-02,ESV
2008-02,ETN
2008-02,HAS
2008-02,RRC
2008-02,ROK
2008-02,CMA
2008-02,FO
2008-02,EQ
2008-02,JNS
2008-02,CVH
2008-02,DGX
2008-02,UST
2008-02,HSP
2008-02,GME
2008-02,SEE
2008-02,BEN
2008-02,RHI
2008-02,COL
2008-02,PPG
2008-02,DTE
2008-02,FISV
2008-02,AKAM
2008-02,AYE
2008-02,CCTYQ
2008-02,CINF
2008-02,HSY
2008-02,PH
2008-02,LUK
2008-02,ABC
2008-02,GPC
2008-02,HUM
2008-02,ABI
2008-02,FIS
2008-02,CHRW
2008-02,RAI
2008-02,TT
2008-02,NBL
2008-02,STR
2008-02,CSC
2008-02,PCL
2008-02,LEG
2008-02,ECL
2008-02,WYN
2008-02,XL
2008-02,TER
2008-02,TDC
2008-02,CEG
2008-02,CBE
2008-02,CNX
2008-02,ITT
2008-02,KLAC
2008-02,MWV
2008-02,IAC
2008-02,MUR
2008-02,MCHP
2008-02,CTXS
2008-02,JWN
2008-02,CITGQ
2008-02,ACAS
2008-02,NTRS
2008-02,RX
2008-02,STZ
2008-02,ETR
2008-02,CBH
2008-02,BMC
2008-02,CBG
2008-02,TSS
2008-02,HOT
2008-02,MBI
2008-02,DOV
2008-02,POM
2008-02,SII
2008-02,CMI
2008-02,EXPE
2008-02,AEE
2008-02,JBL
2008-02,WY
2008-02,TE
2008-02,SVU
2008-02,PHM
2008-02,EXPD
2008-02,APD
2008-02,MCO
2008-02,RRD
2008-02,WWY
2008-02,PBI
2008-02,UNS
2008-02,VRSN
2008-02,JCP
2008-02,LLTC
2008-02,SPG
2008-02,CPB
2008-02,CMS
2008-02,CAM
2008-02,SNDK
2008-02,WFR
2008-02,ADSK
2008-02,GOOGL
2008-02,TGNA
2008-02,AMP
2008-02,ZBH
2008-02,NSM
2008-02,SYK
2008-02,GT
2008-02,HOG
2008-02,BDX
2008-02,GGP
2008-02,KG
2008-02,EOG
2008-02,TXT
2008-02,ESRX
2008-02,KIM
2008-02,DHR
2008-02,SCN
2008-02,PGN
2008-02,MI
2008-02,SRE
2008-02,PFG
2008-02,UNP
2008-02,K
2008-02,TROW
2008-02,BTU
2008-02,NYX
2008-02,GENZ
2008-02,BBBY
2008-02,NE
2008-02,LNC
2008-02,ODP
2008-02,ED
2008-02,EQR
2008-02,TSN
2008-02,NI
2008-02,IR
2008-02,DHI
2008-02,HES
2008-02,NWL
2008-02,CI
2008-02,NBR
2008-02,CCE
2008-02,CPWR
2008-02,EKDKQ
2008-02,NUE
2008-02,AW
2008-02,MCK
2008-02,CTSH
2008-02,BJS
2008-02,BIIB
2008-02,AON
2008-02,XLNX
2008-02,BNI
2008-02,MYL
2008-02,ADI
2008-02,FE
2008-02,AG
2008-02,AMZN
2008-02,FDX
2008-02,FRX
2008-02,MAR
2008-02,LTD
2008-02,HIG
2008-02,KSS
2008-02,EA
2008-02,PX
2008-02,IGT
2008-02,HNZ
2008-02,RIG
2008-02,BHI
2008-02,CNP
2008-02,HRB
2008-02,EIX
2008-02,OMC
2008-02,MHFI
2008-02,ACE
2008-02,APA
2008-02,FTR
2008-02,INTU
2008-02,PAYX
2008-02,ALTR
2008-02,WFT
2008-02,GIS
2008-02,NTH
2008-02,STJ
2008-02,UIS
2008-02,NTAP
2008-02,NOVL
2008-02,LOM
2008-02,STI
2008-02,PNC
2008-02,BBY
2008-02,PCG
2008-02,NOV
2008-02,SOV
2008-02,UUM
2008-02,CAH
2008-02,HBAN
2008-02,MAT
2008-02,MAS
2008-02,PCAR
2008-02,COH
2008-02,PPL
2008-02,FCX
2008-02,CB
2008-02,NKE
2008-02,CELG
2008-02,STT
2008-02,A
2008-02,NSC
2008-02,KEY
2008-02,COF
2008-02,CA
2008-02,GS
2008-02,AEP
2008-02,GD
2008-02,AMT
2008-02,NEE
2008-02,ITW
2008-02,XEL
2008-02,CSX
2008-02,TMO
2008-02,KMB
2008-02,IP
2008-02,AVP
2008-02,RTN
2008-02,M
2008-02,COST
2008-02,TLAB
2008-02,CCL
2008-02,TJX
2008-02,LTR
2008-02,GNW
2008-02,SWY
2008-02,DE
2008-02,DVN
2008-02,NEM
2008-02,PRU
2008-02,CHK
2008-02,ETFC
2008-02,AAZ
2008-02,GPS
2008-02,BRCM
2008-02,IPG
2008-02,THC
2008-02,DC
2008-02,WIN
2008-02,XTO
2008-02,CAG
2008-02,TYC
2008-02,DYNIQ
2008-02,TEL
2008-02,COV
2008-02,CCU
2008-02,AET
2008-02,PEG
2008-02,YUM
2008-02,WM
2008-02,CL
2008-02,EDS
2008-02,SLM
2008-02,MMC
2008-02,JNPR
2008-02,HST
2008-02,HCBK
2008-02,ADP
2008-02,LEHMQ
2008-02,FITB
2008-02,MHS
2008-02,ANTM
2008-02,MON
2008-02,BBT
2008-02,VLO
2008-02,NVDA
2008-02,MTLQQ
2008-02,ALL
2008-02,ADBE
2008-02,CFC
2008-02,D
2008-02,WMB
2008-02,JCI
2008-02,AMD
2008-02,SYY
2008-02,SE
2008-02,NCC
2008-02,BAX
2008-02,CAT
2008-02,ADM
2008-02,PA
2008-02,VIAB
2008-02,EXC
2008-02,FMCC
2008-02,AES
2008-02,KR
2008-02,CBS
2008-02,RN
2008-02,PGR
2008-02,EP
2008-02,SPLS
2008-02,LSI
2008-02,MRO
2008-02,MMM
2008-02,DTV
2008-02,SLE
2008-02,SBUX
2008-02,BUD
2008-02,LUV
2008-02,MWZ
2008-02,ALD
2008-02,WU
2008-02,SO
2008-02,MU
2008-02,BA
2008-02,EMR
2008-02,OXY
2008-02,JAVA
2008-02,TGT
2008-02,AA
2008-02,MER
2008-02,SYMC
2008-02,WAMUQ
2008-02,AAPL
2008-02,HAL
2008-02,DD
2008-02,XRX
2008-02,GILD
2008-02,SWG
2008-02,DOW
2008-02,FNMA
2008-02,LLY
2008-02,UTX
2008-02,WAG
2008-02,UPS
2008-02,MS
2008-02,AMGN
2008-02,MDT
2008-02,EBAY
2008-02,BK
2008-02,AEC
2008-02,MCD
2008-02,SLBA
2008-02,DUK
2008-02,UNH
2008-02,YHOO
2008-02,WYE
2008-02,BSX
2008-02,AMAT
2008-02,IBM
2008-02,TXN
2008-02,LOW
2008-02,CVS
2008-02,ABT
2008-02,KFT
2008-02,QWST
2008-02,GLW
2008-02,COP
2008-02,PEP
2008-02,MRK
2008-02,QCI
2008-02,HD
2008-02,USB
2008-02,DIS
2008-02,WB
2008-02,BMY
2008-02,KO
2008-02,EMC
2008-02,MO
2008-02,F
2008-02,CVX
2008-02,MRK
2008-02,DELL
2008-02,MOT
2008-02,NCRA
2008-02,WMT
2008-02,AIG
2008-02,HPQ
2008-02,S
2008-02,JNJ
2008-02,VZ
2008-02,CMCSA
2008-02,PG
2008-02,JPM
2008-02,WFC
2008-02,TWX
2008-02,ORCL
2008-02,BAC
2008-02,R
2008-02,XOM
2008-02,INCO
2008-02,T
2008-02,CSCO
2008-02,PFE
2008-02,MSFT
2008-02,GEC
2008-02,BGIXX
2008-03,CCTYQ
2008-03,GHC
2008-03,MDP
2008-03,AZO
2008-03,GAS
2008-03,MXA
2008-03,MIL
2008-03,ASH
2008-03,SNA
2008-03,DDS
2008-03,R
